0	HalftimeHash24	clhash
167	3.7111111111111112493	11.13333333333333286
168	3.8181818181818183433	18.666666666666667851
169	3.8409090909090908283	11.266666666666667496
170	3.9534883720930231732	11.333333333333333925
171	3.9767441860465115866	11.400000000000000355
172	3.9090909090909091717	10.75
173	3.9318181818181816567	10.8125
174	3.8666666666666666963	10.875
175	3.804347826086956541	10.9375
176	3.9111111111111109828	19.555555555555557135
177	3.8478260869565219515	11.800000000000000711
178	4.0454545454545458583	11.86666666666666714
179	3.9777777777777778567	11.93333333333333357
180	4	12
181	3.9347826086956523284	12.06666666666666643
182	3.9565217391304345895	12.13333333333333286
183	3.8125	12.199999999999999289
184	3.8333333333333334814	20.444444444444442865
185	4.0217391304347822611	12.333333333333333925
186	4.0434782608695654105	12.400000000000000355
187	4.0652173913043476716	12.466666666666666785
188	4.0869565217391308209	11.75
189	3.9375	11.8125
190	3.9583333333333334814	11.875
191	3.9791666666666665186	11.9375
192	5.485714285714285765	19.199999999999999289
193	5.514285714285714235	12.86666666666666714
194	5.7058823529411766273	12.125
195	5.5714285714285711748	12.1875
196	5.5999999999999996447	12.25
197	5.4722222222222223209	12.3125
198	5.3513513513513517594	12.375
199	5.3783783783783780663	12.4375
200	5.4054054054054052614	20
202	5.4594594594594596515	12.625
204	5.5135135135135131534	12.75
206	5.4210526315789477891	12.875
208	5.3333333333333330373	18.90909090909091006
210	5.5263157894736840703	13.125
212	5.4358974358974361252	13.25
214	5.3499999999999996447	13.375
216	5.2682926829268295066	19.636363636363636687
218	5.5897435897435894248	13.625
220	5.5	13.75
222	5.2857142857142855874	13.875
224	5.2093023255813957206	20.363636363636363313
226	5.3809523809523813753	14.125
228	5.1818181818181816567	14.25
230	5.227272727272727515	14.375
232	5.272727272727272485	21.09090909090908994
234	5.4418604651162789665	14.625
236	5.3636363636363633134	14.75
238	5.2888888888888887507	14.875
240	5.3333333333333330373	21.818181818181816567
242	5.377777777777778212	15.125
244	5.304347826086956097	15.25
246	5.2340425531914895885	15.375
248	5.1666666666666669627	20.666666666666667851
250	5.4347826086956523284	14.705882352941175739
252	5.3617021276595746571	14.823529411764706509
254	5.2916666666666669627	14.941176470588235503
256	7.1111111111111107164	21.333333333333332149
258	7.3714285714285709972	15.176470588235293491
260	7.0270270270270271951	15.294117647058824261
262	6.8947368421052628307	15.411764705882353255
264	6.9473684210526318594	22
266	7.1891891891891894772	15.647058823529411242
268	6.8717948717948713622	15.764705882352942012
270	6.75	15.882352941176471006
272	7.1578947368421053099	20.92307692307692335
274	7.0256410256410255499	16.117647058823528994
276	7.0769230769230766498	16.235294117647057988
278	6.7804878048780485855	16.352941176470586981
280	6.6666666666666669627	21.538461538461540101
282	6.7142857142857144126	16.588235294117648522
